HTML,"Стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере. Веб-браузеры получают HTML документ от сервера по протоколам HTTP/HTTPS или открывают с локального диска, далее интерпретируют код в интерфейс, который будет отображаться на экране монитора",,Document|/
accusantium,"Льзованием языка разметки ет применяться к любым XML-документам, например, к SVG или XUL.",,Document|/
PHP,"PHP — скриптовый язык общего назначения, интенсивно применяемый для разработки веб-приложений. В настоящее время поддерживается подавляющим большинством хостинг-провайдеров и является одним из лидеров среди языков, применяющихся для создания динамических веб-сайтов","HTML,CSS, JS",Document|/
Хреновуха,"Крепкий алкогольный напиток, горькая настойка на корне хрена. Распространён в России, Украине и Белоруссии. Для приготовления хреновухи могут использоваться Водка или самогон, реже — разбавленный спирт.",,
Cyberpunk,fsadgjlksajgkasgnlksdjglkajgsljsdag,,
альфа,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,
NewTerm,"Info Info Info",,
PHHP,"PHP — скриптовый язык общего назначения, интенсивно применяемый для разработки веб-приложений. В настоящее время поддерживается подавляющим большинством хостинг-провайдеров и является одним из лидеров среди языков, применяющихся для создания динамических веб-сайтов","HTML,CSS, JS",
Cama,dsadasdasdas,,
Cdsadsad,dsadsadfdbs,,
Coadpsad,badasdgasdg,,
CSS,"Формальный язык описания внешнего вида документа (веб-страницы), написанного с использованием языка разметки (чаще всего HTML или XHTML). Также может применяться к любым XML-документам, например, к SVG или XUL.",,Document|/
